Longitude,Latitude,FireCause,County,FireDiscoveryDate,FireDiscoveryTime,FireOutDate,FireOutTime,State
-100.946880734,35.4106950070001,Human,Gray,2018/04/18,12:19:47+00,2018/04/23,00:00:00+00,TX
-94.9877903989999,32.9131558400001,Natural,Camp,2016/07/16,00:11:00+00,2016/07/16,14:03:00+00,TX
-94.673506856,30.455105363,Human,Hardin,2016/01/29,22:05:00+00,2016/01/30,00:14:00+00,TX
-95.3909070829999,31.3051055080001,Human,Houston,2015/07/20,23:31:00+00,2015/07/22,16:12:00+00,TX
-94.6626208919999,33.383778165,Human,Bowie,2017/11/24,20:26:00+00,2017/11/25,00:49:00+00,TX
-93.696871102,31.3786587640001,Human,Sabine,2021/01/15,20:29:00+00,2021/01/19,14:22:51+00,TX
-94.388006793,30.6765054190001,Human,Tyler,2015/08/01,19:28:00+00,2015/08/01,20:09:00+00,TX
-101.617008585,30.669105146,Natural,Crockett,2015/08/13,00:30:00+00,2015/08/26,18:17:00+00,TX
-95.216507016,30.8601054260001,Human,Trinity,2015/07/24,20:48:59+00,2015/07/25,17:38:00+00,TX
-94.9743070489999,32.640989118,Human,Upshur,2016/05/17,16:11:00+00,2016/05/17,19:12:00+00,TX
-101.508175214,30.435005108,Unknown,Crockett,2020/08/02,19:09:21+00,2020/08/12,23:54:35+00,TX
-94.4259401419999,30.8634054550001,Human,Tyler,2017/03/03,22:06:59+00,2017/03/03,23:48:00+00,TX
-97.680797777,33.256435788,Human,Wise,2020/08/14,22:27:00+00,2020/08/15,23:00:00+00,TX
-95.58432379,31.1200387970001,Unknown,Houston,2020/11/24,04:18:00+00,2020/11/24,22:35:29+00,TX
-98.1353944269999,30.997243676,Unknown,Burnet,2018/08/02,22:14:00+00,2018/08/08,22:20:12+00,TX
-94.716940363,33.491772623,Human,Bowie,2017/12/14,20:16:00+00,2017/12/16,00:00:00+00,TX
-101.007786561,35.561950429,Undetermined,Gray,2016/03/23,18:49:00+00,2016/03/28,12:33:59+00,TX
-94.5525735149999,31.074605494,Human,Angelina,2017/01/10,20:22:00+00,2017/01/11,23:00:00+00,TX
-94.320490233,33.0561558960001,Human,Cass,2017/03/24,21:26:00+00,2017/03/24,23:36:59+00,TX
-100.392008488,33.9087057790001,Human,Cottle,2016/02/13,14:18:00+00,2016/02/20,23:00:00+00,TX
-94.408906932,33.1531559110001,Human,Cass,2017/03/21,21:21:59+00,2017/03/23,14:02:00+00,TX
-104.829009388,31.827805217,Human,Culberson,2015/01/19,13:08:00+00,2015/01/21,14:00:00+00,TX
-93.9778280209999,30.763191131,Human,Jasper,2020/12/26,21:04:00+00,2020/12/26,23:02:00+00,TX
-100.057841655,32.6006722290001,Human,Jones,2020/07/14,22:27:53+00,2020/07/18,21:44:35+00,TX
-95.6419071609999,31.5541055480001,Undetermined,Anderson,2016/02/14,19:15:59+00,2016/02/14,21:39:00+00,TX
-95.10151769,32.5678023070001,Human,Upshur,2019/08/09,21:51:54+00,2019/08/13,16:34:59+00,TX
-95.118323679,31.422522202,Human,Houston,2016/12/31,04:15:00+00,2017/01/02,14:57:00+00,TX
-100.24750829,31.254455308,Human,Tom Green,2017/09/14,20:19:00+00,2017/09/18,21:42:00+00,TX
-94.673063627,32.4573474310001,Human,Harrison,2018/07/22,22:38:01+00,2018/07/23,00:06:59+00,TX
-94.4417069249999,32.888305858,Human,Cass,2015/09/13,22:20:00+00,2015/09/13,23:06:59+00,TX
-95.044107022,31.841805628,Human,Cherokee,2020/08/25,20:55:40+00,2020/08/26,21:13:01+00,TX
-94.701156902,31.237405521,Human,Angelina,2019/09/28,19:12:07+00,2019/09/30,15:00:01+00,TX
-96.225707346,32.216838984,Human,Navarro,2017/12/13,23:35:00+00,2017/12/14,22:28:59+00,TX
-94.929940385,32.9348558470001,Human,Camp,2017/01/28,22:14:00+00,2017/01/29,16:15:00+00,TX
-95.104406989,30.8936054370001,Human,Polk,2016/02/10,20:23:00+00,2016/02/10,22:12:59+00,TX
-95.704097196,31.909175615,Human,Anderson,2018/07/28,18:29:01+00,2018/08/02,14:03:45+00,TX
-101.635856789,35.477117181,Human,Potter,2020/05/25,01:00:15+00,2020/05/25,02:05:00+00,TX
-94.8906237039999,32.922139176,Human,Camp,2016/07/20,22:46:00+00,2016/07/21,01:41:59+00,TX
-96.8140073879999,30.141205224,Undetermined,Fayette,2015/10/16,22:05:59+00,2015/10/17,00:42:00+00,TX
-94.9101570449999,32.8485391610001,Human,Upshur,2017/12/10,00:24:00+00,2017/12/14,23:23:00+00,TX
-98.917841322,31.661172105,Unknown,Brown,2020/08/12,00:46:59+00,2020/08/14,22:34:23+00,TX
-95.6110904399999,30.656172037,Human,Walker,2019/09/09,20:55:52+00,2019/09/10,20:28:22+00,TX
-95.701107134,30.7455053850001,Human,Walker,2015/10/17,17:51:59+00,2015/10/17,21:59:59+00,TX
-101.147508496,31.083060797,Unknown,Irion,2020/09/01,19:30:13+00,2020/09/05,22:11:11+00,TX
-94.211423511,32.520989129,Human,Harrison,2018/08/06,18:43:59+00,2018/08/06,20:58:08+00,TX
-94.426673538,32.126455709,Human,Panola,2017/12/03,20:13:59+00,2017/12/03,21:20:59+00,TX
-94.552706945,32.729389155,Unknown,Marion,2019/08/07,22:00:58+00,2019/08/09,14:24:15+00,TX
-94.385656893,32.5826058010001,Human,Harrison,2016/11/18,17:39:59+00,2016/11/18,19:09:00+00,TX
-94.556866787,29.6085451930001,Unknown,Chambers,2019/01/31,14:00:00+00,2019/02/01,15:00:00+00,TX
-94.668890248,31.7066722760001,Human,Nacogdoches,2017/10/29,21:49:00+00,2017/10/29,23:39:59+00,TX
-95.738007134,30.5470053440001,Human,Montgomery,2015/09/13,22:09:00+00,2015/09/14,21:27:59+00,TX
-93.9771733759999,31.2875555580001,Human,Sabine,2017/02/02,04:21:59+00,2017/02/02,16:57:59+00,TX
-94.474923609,33.0324058850001,Unknown,Cass,2020/08/03,03:17:59+00,2020/08/03,04:50:05+00,TX
-93.606223255,30.8050221330001,Human,Newton,2017/11/28,22:38:59+00,2017/11/29,00:46:59+00,TX
-94.403256827,31.293172203,Human,Angelina,2016/11/15,20:19:59+00,2016/11/15,22:38:00+00,TX
-94.515840186,31.222638858,Human,Angelina,2018/03/26,19:39:19+00,2018/03/30,17:00:26+00,TX
-94.282006801,31.3996055690001,Human,San Augustine,2015/08/31,17:03:59+00,2015/09/01,23:26:59+00,TX
-94.921707015,32.2927057220001,Human,Rusk,2016/02/08,21:03:00+00,2016/02/09,17:44:00+00,TX
-95.003523674,31.8842556380001,Human,Cherokee,2017/01/30,14:09:00+00,2017/01/31,23:39:00+00,TX
-95.3216904349999,32.052905658,Human,Cherokee,2017/01/28,06:04:00+00,2017/01/30,22:40:00+00,TX
-94.0204067189999,31.1278055240001,Natural,Jasper,2015/08/16,14:36:59+00,2015/08/17,22:18:00+00,TX
-94.484806851,31.3339055480001,Unknown,Angelina,2018/08/26,15:43:00+00,2018/08/28,18:34:36+00,TX
-95.734157228,32.3437556980001,Human,Henderson,2018/08/31,19:25:00+00,2018/09/02,22:15:00+00,TX
-96.107607356,32.8962057890001,Human,Hunt,2015/10/15,20:38:00+00,2015/10/17,21:59:59+00,TX
-101.852008953,35.430305962,Human,Potter,2016/01/24,22:34:59+00,2016/01/26,23:00:00+00,TX
-95.3486181809999,31.2655610580001,Human,Houston,2019/10/12,21:01:42+00,2019/10/14,14:48:03+00,TX
-94.299580873,32.7950466510001,Human,Marion,2019/12/26,18:55:14+00,2020/01/06,22:27:08+00,TX
-100.304888503,34.3537106790001,Human,Childress,2020/11/14,19:12:01+00,2020/11/15,22:52:22+00,TX
-94.044206727,31.164138861,Human,Sabine,2017/12/11,20:38:00+00,2017/12/11,22:25:59+00,TX
-95.199792238,32.2888003050001,Human,Smith,2018/06/26,19:55:01+00,2018/06/28,20:35:59+00,TX
-97.068640788,30.204721894,Human,Bastrop,2020/11/17,21:02:04+00,2020/11/20,23:01:53+00,TX
-94.6863069349999,31.9349056610001,Human,Rusk,2015/09/23,19:41:59+00,2015/09/23,21:35:00+00,TX
-94.3550069189999,33.1699059170001,Human,Cass,2017/12/10,13:14:00+00,2017/12/10,16:46:00+00,TX
-95.5733071879999,32.3692057100001,Human,Van Zandt,2016/02/05,22:06:59+00,2016/02/09,20:10:59+00,TX
-93.7483066519999,31.2039055500001,Human,Sabine,2016/02/18,21:37:59+00,2016/02/23,00:00:00+00,TX
-101.041143774,34.810741901,Unknown,Donley,2018/05/09,16:58:23+00,2018/05/14,23:16:27+00,TX
-94.3731468079999,31.059395497,Unknown,Angelina,2020/09/16,13:12:59+00,2020/10/15,15:00:00+00,TX
-96.265840726,32.88250578,Human,Hunt,2016/12/29,17:55:00+00,2016/12/31,23:00:00+00,TX
-100.877841747,31.3640053030001,Unknown,Irion,2019/08/20,18:17:22+00,2019/08/23,19:26:53+00,TX
-98.217674541,32.784005676,Human,Palo Pinto,2017/12/10,21:56:00+00,2017/12/14,21:17:59+00,TX
-95.1871904509999,32.884355826,Human,Wood,2021/01/15,23:51:59+00,2021/01/19,14:08:09+00,TX
-94.92460704,32.706005802,Human,Upshur,2015/08/12,18:10:00+00,2015/08/13,19:46:00+00,TX
-102.934175893,35.733172612,Natural,Hartley,2017/06/22,02:42:59+00,2017/06/23,21:00:00+00,TX
-95.4623737539999,31.0218221160001,Human,Walker,2020/10/01,22:09:59+00,2020/10/02,22:40:35+00,TX
-101.750092238,35.178655926,Human,Randall,2017/03/17,17:19:59+00,2017/03/20,00:59:59+00,TX
-95.228840396,31.714955596,Human,Cherokee,2018/07/02,01:46:00+00,2018/07/05,20:14:46+00,TX
-98.838008028,32.665005627,Human,Stephens,2015/10/19,19:14:00+00,2015/10/26,21:59:59+00,TX
-95.772023812,30.738872041,Human,Walker,2017/03/23,20:48:00+00,2017/03/26,17:19:00+00,TX
-101.13055861,33.073305598,Human,Garza,2020/08/28,21:51:06+00,2020/09/01,22:11:48+00,TX
-97.6070770809999,30.084360587,Human,Bastrop,2018/07/27,18:44:53+00,2018/07/31,00:49:48+00,TX
-99.4726336099999,32.7079875800001,Natural,Shackelford,2020/08/15,12:14:59+00,2020/08/20,23:55:29+00,TX
-94.929390342,32.2021057040001,Undetermined,Rusk,2017/10/18,00:01:00+00,2017/10/18,16:15:00+00,TX
-94.8275070299999,32.957789185,Human,Camp,2017/02/01,11:00:00+00,2017/02/01,14:18:00+00,TX
-101.353508544,31.0720052300001,Human,Crockett,2018/05/29,00:15:41+00,2018/06/01,00:40:04+00,TX
-95.629777102,30.452925329,Unknown,Montgomery,2020/12/28,12:40:00+00,2020/12/30,12:59:59+00,TX
-101.219675464,35.4585060000001,Human,Carson,2017/06/17,23:00:00+00,2017/06/19,21:59:59+00,TX
-95.8827989059999,31.8550955970001,Human,Anderson,2020/06/18,19:34:59+00,2020/06/22,18:25:20+00,TX
-96.080257232,30.766988708,Human,Grimes,2019/09/15,21:30:00+00,2019/09/18,20:12:22+00,TX
-94.3872734719999,31.0834055010001,Human,Angelina,2017/04/04,21:03:00+00,2017/04/04,23:39:59+00,TX
-94.767190307,32.273722391,Human,Rusk,2018/04/15,21:59:51+00,2018/04/16,01:14:11+00,TX
-94.2945068779999,32.7497058370001,Human,Marion,2015/08/31,22:02:00+00,2015/09/01,01:15:59+00,TX
-95.248837045,31.2790555080001,Human,Houston,2020/10/02,00:24:00+00,2020/10/04,00:59:59+00,TX
-94.435973626,33.47762264,Human,Bowie,2019/09/29,18:25:10+00,2019/10/04,15:41:36+00,TX
-94.057673402,31.252372215,Human,San Augustine,2018/09/04,18:54:01+00,2018/09/06,23:05:49+00,TX
-94.2784401819999,32.313322419,Human,Panola,2018/08/22,16:36:01+00,2018/08/24,15:35:23+00,TX
-95.1218404109999,32.537422421,Human,Smith,2017/03/03,19:50:00+00,2017/03/05,00:00:00+00,TX
-94.2824902149999,32.861439193,Unknown,Marion,2019/08/18,19:15:40+00,2019/08/21,13:00:35+00,TX
-94.225806881,33.095205908,Human,Cass,2016/02/02,19:54:59+00,2016/02/02,21:40:59+00,TX
-100.816612964,34.560452678,Natural,Hall,2018/08/17,00:18:32+00,2018/08/22,23:02:25+00,TX
-99.258674699,31.05667197,Natural,McCulloch,2016/08/13,01:05:59+00,2016/08/15,00:00:00+00,TX
-97.347139138,30.248839505,Human,Bastrop,2018/07/28,02:32:26+00,2018/07/31,00:42:19+00,TX
-94.633306945,32.37830575,Human,Gregg,2015/05/04,20:39:00+00,2015/05/06,16:17:00+00,TX
-95.7421371359999,30.565175347,Unknown,Montgomery,2020/09/03,19:24:00+00,2020/10/01,00:59:59+00,TX
-100.742444614,34.477187859,Natural,Hall,2020/07/11,20:49:31+00,2020/07/17,22:00:06+00,TX
-99.993063869,32.7191722530001,Unknown,Jones,2020/09/02,02:45:59+00,2020/09/06,22:26:41+00,TX
-101.491608899,35.8304060470001,Unknown,Hutchinson,2018/04/13,00:10:03+00,2018/04/16,17:00:48+00,TX
-94.206140206,33.0515225670001,Human,Cass,2018/09/04,20:25:01+00,2018/09/07,00:06:15+00,TX
-103.729559092,31.0002084550001,Unknown,Reeves,2020/06/09,20:58:35+00,2020/06/12,21:08:44+00,TX
-94.051856723,31.047705507,Unknown,Jasper,2018/06/09,02:29:16+00,2018/06/10,13:40:00+00,TX
-97.1713854339999,30.9076168180001,Unknown,Milam,2018/06/11,00:51:01+00,2018/06/18,15:11:45+00,TX
